IIIM_Fem_fitness	YM_fem_fitness	traD_fem_fitness	IIIM_male_fitness	YM_male_fitness	f1_fit	f2_fit	f3_fit	f4_fit	f5_fit	f6_fit	f7_fit	f8_fit	f9_fit	f10_fit	m1_fit	m2_fit	m3_fit	m4_fit	m5_fit	m6_fit	m7_fit	m8_fit	IIIM_fem_h	YM_fem_h	IIIM_male_h	YM_male_h	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	m1	m2	m3	m4	m5	m6	m7	m8	X_freq	Y_freq	III_freq	IIIM_freq	tra_freq	traD_freq	female	male	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	m1	m2	m3	m4	m5	m6	m7	m8
0.6421936602336416	-0.33353720073462667	-0.15506335735929744	0.16047760604091232	0.9339387575746276	0.4234712068446895	0.35780633976635845	1.0	1.0	0.2384646147955845	0.6664627992653733	0.6664627992653733	0.2384646147955845	0.6664627992653733	0.6664627992653733	0.06606124242537237	0.06606124242537237	0.8395223939590877	1.0	1.0	0.8395223939590877	1.0	1.0	0	1	0	0	0.004278094558962671	0.0036957232358906978	0.029265863917769083	0.05729074671205987	0.011751449377346793	0.08639299959568289	0.15810089428954519	0.00858774602943772	0.05490444637336535	0.03059860362127593	0.08712966278504744	0.05729074671205987	0.012612449509943802	0.08937782380421692	0.15810089428954519	0.00858774602943772	0.05490444637336535	0.08712966278504744	0.4971190933549301	0.5028809066450699	0.250500830165743	0.749499169834257	0.7797057634238134	0.22029423657618663	0.44486656771133626	0.5551334322886637	124	124	124	186	124	186	186	124	186	124	124	186	124	186	186	124	186	124
0.1941906325733096	-0.5509840730558249	-0.14621506380218685	0.8106019979032644	0.47726507944985075	0.9438083682001069	0.8058093674266904	1.0	1.0	0.36182124005539473	0.44901592694417514	0.44901592694417514	0.36182124005539473	0.44901592694417514	0.44901592694417514	0.5227349205501493	0.5227349205501493	0.18939800209673563	1.0	1.0	0.18939800209673563	1.0	1.0	0	1	0	0	0.00027111776517927663	0.0001637692723589629	0.01415987227815724	0.3060672743182618	8.344111128854479e-05	0.007232316700876337	0.15671519249120033	7.741534508842415e-06	0.0006719175086387774	0.014511576703514138	0.01457948257217056	0.3060672743182618	8.748133450788142e-05	0.007407207984556973	0.15671519249120033	7.741534508842415e-06	0.0006719175086387774	0.01457948257217056	0.805429206581205	0.19457079341879502	0.022982649828871684	0.9770173501711283	0.7501934490405975	0.24980655095940252	0.4998842196839843	0.5001157803160157	124	124	249	311	124	249	311	92	186	249	249	311	124	249	311	92	186	249
-0.9380508661007494	0.24140944766685868	-0.4231330993578526	0.3090819750213927	0.9078245904612738	1.0	0.5768669006421474	0.03573640486992609	0.03573640486992609	0.7604456697594245	0.0471089506190319	0.0471089506190319	0.7604456697594245	0.0471089506190319	0.0471089506190319	0.09217540953872616	0.09217540953872616	0.6909180249786073	1.0	1.0	0.6909180249786073	1.0	1.0	1	0	0	0	0.5	5.469647730576546e-56	2.734431078983916e-57	6.399557710780522e-110	1.320653269147782e-55	3.612059172284654e-55	8.45713118727569e-108	7.7368849609012745e-56	3.5847148614948155e-55	1.170454282545718e-53	8.862301272721185e-108	6.399557710780522e-110	0.5	1.2722441908290854e-53	8.45713118727569e-108	7.7368849609012745e-56	3.5847148614948155e-55	8.862301272721185e-108	0.75	0.25	1.0	0.0	1.0	0.0	0.5	0.5	92	76	37	14	76	45	22	76	45	76	22	14	76	76	22	76	45	22
-0.9872715547606257	-0.6728730569796784	-0.7298000586431987	0.0027631898626216955	-0.46536907894228774	1.0	0.27019994135680125	0.0034392251572422003	0.0034392251572422003	0.08838968082032057	0.001125063212047226	0.001125063212047226	0.08838968082032057	0.001125063212047226	0.001125063212047226	1.0	1.0	0.5331536343164015	0.5346309210577123	0.5346309210577123	0.5331536343164015	0.5346309210577123	0.5346309210577123	1	1	0	1	0.5	1.7611459392590019e-156	1.0481298623104444e-156	7.008834374501769e-306	5.465018685181552e-156	3.7429112959171963e-153	2.502882770813412e-302	3.703872745922551e-156	3.7418631660548856e-153	3.3434962706836063e-150	2.507762238828094e-302	7.008834374501769e-306	0.5	3.354696871314814e-150	2.502882770813412e-302	3.703872745922551e-156	3.7418631660548856e-153	2.507762238828094e-302	0.75	0.25	1.0	0.0	1.0	0.0	0.5	0.5	30	14	10	0	14	14	8	12	14	30	8	0	30	30	8	12	14	8
-0.8027939165232094	0.49298578262594317	-0.9808014011600406	-0.45145235997662425	-0.09578387950688061	1.0	0.019198598839959446	0.0037860804854704575	0.0037860804854704575	0.037865997011668436	0.0074674049676149885	0.0074674049676149885	0.037865997011668436	0.0074674049676149885	0.0074674049676149885	0.6066554528183176	0.6066554528183176	1.0	0.5485476400233757	0.5485476400233757	1.0	0.5485476400233757	0.5485476400233757	1	0	1	1	0.5	1.184943799923556e-277	9.946740860559182e-278	0.0	4.524827598179019e-277	3.025915874812767e-275	0.0	3.339883798255463e-277	3.015969133952208e-275	2.278734507836017e-273	0.0	0.0	0.5	2.3669626519564944e-273	0.0	3.339883798255463e-277	3.015969133952208e-275	0.0	0.75	0.25	1.0	0.0	1.0	0.0	0.5	0.5	18	8	6	0	8	14	8	8	14	18	8	0	18	18	8	8	14	8
0.6296920614341941	-0.7715208302758596	0.6159395145719078	-0.36703536139291293	0.21774471460275424	0.14222064664345957	0.3703079385658059	1.0	1.0	0.08460765034577332	0.2284791697241404	0.2284791697241404	0.08460765034577332	0.2284791697241404	0.2284791697241404	0.49513993401995143	0.49513993401995143	1.0	0.6329646386070871	0.6329646386070871	1.0	0.6329646386070871	0.6329646386070871	0	1	1	0	1.039611672671138e-242	5.19805836335569e-243	1.5736141627404473e-121	0.5	1.2337278606327806e-301	5.814759813426757e-181	2.8764632698596755e-61	0.0	7.580830744508396e-242	1.5736141627404473e-121	2.1287017355996017e-122	0.5	1.2337278606327806e-301	5.814759813426757e-181	2.8764632698596755e-61	0.0	7.580830744508396e-242	2.1287017355996017e-122	1.0	0.0	8.932421681502038e-122	1.0	0.75	0.25	0.5	0.5	41	37	61	92	37	53	92	30	41	61	53	92	37	53	92	30	41	53
0.354495672160714	0.15205803735039458	0.4385552655587035	0.004330197137335734	0.13981279384043033	0.3073068914172343	0.5473502066468585	0.8479419626496054	0.8479419626496054	0.645504327839286	1.0	1.0	0.645504327839286	1.0	1.0	0.8601872061595697	0.8601872061595697	0.9956698028626643	1.0	1.0	0.9956698028626643	1.0	1.0	0	0	0	0	0.008576493310520853	0.006606191194907037	0.04536677730827453	0.07761890320597135	0.013645527820675352	0.08921051490355988	0.1455809960352619	0.007035970872093123	0.04381092955761173	0.046370385547616605	0.06818828366292656	0.07761890320597135	0.01434327871300528	0.09141066453371126	0.1455809960352619	0.007035970872093123	0.04381092955761173	0.06818828366292656	0.5338615409093094	0.4661384590906906	0.24814248254514257	0.7518575174548574	0.7623769017770142	0.23762309822298577	0.48382268975649223	0.5161773102435078	186	186	124	249	249	249	249	249	249	124	124	249	249	249	249	249	249	124
-0.2543374143240882	0.9248587414127589	-0.850631432599807	0.18349693439143455	0.4190221348507588	0.5030593778537102	0.07514125858724108	0.05603002516910449	0.05603002516910449	1.0	0.7456625856759118	0.7456625856759118	1.0	0.7456625856759118	0.7456625856759118	0.5809778651492412	0.5809778651492412	0.8165030656085654	1.0	1.0	0.8165030656085654	1.0	1.0	1	0	0	0	5.087041264253196e-06	5.070656641570366e-06	3.646763682135511e-10	6.165484710484247e-15	0.003174279960152282	2.279334166048895e-07	3.848722479857572e-12	0.4967822335842375	3.5616114731321e-05	3.654094837209797e-10	6.006263437851136e-10	6.165484710484247e-15	0.0031794049097430286	2.2816179625910436e-07	3.848722479857572e-12	0.4967822335842375	3.5616114731321e-05	6.006263437851136e-10	0.0031872291496236765	0.9968127708503763	0.9999641543812652	3.584561873481995e-05	0.7500012855084399	0.24999871449156008	0.5000025160243843	0.4999974839756157	249	249	124	61	874	374	124	937	749	124	249	61	874	374	124	937	749	249
0.29244051737275933	-0.07378649363157308	-0.7267260866730896	0.8293575536606523	-0.0016528191889755295	1.0	0.2732739133269104	0.38622040978408834	0.38622040978408834	0.2531099894615393	0.3577225599771712	0.3577225599771712	0.2531099894615393	0.3577225599771712	0.3577225599771712	1.0	1.0	0.17036040522958426	0.9983471808110245	0.9983471808110245	0.17036040522958426	0.9983471808110245	0.9983471808110245	0	1	0	1	0.008260237017940706	0.003254820991623346	0.04248970586913882	0.13825283980253159	0.0036388447371890377	0.05011463334223111	0.17138146075942362	0.0010170438475901333	0.01473711413289147	0.06498123224614738	0.05309417218049333	0.13825283980253159	0.005784439374590982	0.06451082497527846	0.17138146075942362	0.0010170438475901333	0.01473711413289147	0.05309417218049333	0.6170104476383277	0.3829895523616723	0.14281421213298665	0.8571857878670134	0.7550661521356166	0.24493384786438344	0.49812793274670714	0.5018720672532928	0	499	499	0	499	0	0	499	0	0	0	0	0	0	0	499	0	0
0.3879958917986057	0.05975511018820767	-0.7405398503018044	0.5522941568533406	0.6786157870743268	1.0	0.2594601496981957	0.42395164709060124	0.42395164709060124	0.2759495451766098	0.45089492289127264	0.45089492289127264	0.2759495451766098	0.45089492289127264	0.45089492289127264	0.3213842129256732	0.3213842129256732	0.4477058431466594	1.0	1.0	0.4477058431466594	1.0	1.0	0	0	0	0	0.016297649490335617	0.0061659077699110065	0.029207513173255047	0.03405860276654381	0.019476032722576586	0.09142285209747995	0.10815325899358715	0.015374620575477888	0.07175774069720388	0.04881397086109361	0.08337056542906436	0.03405860276654381	0.03447442142029804	0.128712075541296	0.10815325899358715	0.015374620575477888	0.07175774069720388	0.08337056542906436	0.44835479128006606	0.5516452087199339	0.3452774963718286	0.6547225036281714	0.7877847501714356	0.21221524982856443	0.44072814914746455	0.5592718508525354	124	61	92	124	124	92	124	124	124	92	124	124	124	124	124	124	124	124
